"","title","description","contributor","author","publisher"
"407","VENGEFUL","Marcella Riggins pits two ExtraOrdinaries against one another as she menaces the city of Merit.","by V.E. Schwab","V E Schwab","Tor"
"408","LEVERAGE IN DEATH","Lieutenant Eve Dallas investigates a mysterious act of terror.","by J.D. Robb","JD Robb","St. Martin's"
"409","BEFORE WE WERE YOURS","A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.","by Lisa Wingate","Lisa Wingate","Ballantine"
"410","HIPPIE","A young Brazillian man and a Dutch woman explore their relationship as they travel across Europe and Central Asia to Kathmandu.","by Paulo Coelho","Paulo Coelho","Knopf"
"411","SEA PRAYER","A father reflects on the life he and his son left behind in Syria, and the dangers of the journey before them.","by Khaled Hosseini. Illustrated by Dan Williams","Khaled Hosseini","Riverhead"
"412","TEXAS RANGER","Rory Yates's job and reputation are at risk when he is accused of killing his ex-wife.","by James Patterson and Andrew Bourelle","James Patterson and Andrew Bourelle","Little, Brown"
"413","THE FORBIDDEN DOOR","Jane Hawk, a former F.B.I. agent, must stop a secret group using mind-control technology.","by Dean Koontz","Dean Koontz","Bantam"
"414","THE FALL OF GONDOLIN","Thousands of years before the events of “The Lord of the Rings,” a hero named Tuor visits a secret city. Edited by Christopher Tolkien.","by J.R.R. Tolkien","JRR Tolkien","Houghton Mifflin Harcourt"
"415","THE LABYRINTH OF THE SPIRITS","The final volume of the author's novel set in the Cemetery of Forgotten Books. Alicia Gris uncovers a conspiracy in Spanish history.","by Carlos Ruiz Zafón","Carlos Ruiz Zafón","Harper"
"416","ROBERT B. PARKER'S COLORBLIND","Police chief Jesse Stone works to solve racially motivated crimes and to clear the department's first black female deputy.","by Reed Farrel Coleman","Reed Farrel Coleman","Putnam"
"417","DEPTH OF WINTER","Sheriff Longmire takes on the head of a drug cartel in a remote area of the northern Mexican desert.","by Craig Johnson","Craig Johnson","Viking"
"418","LITTLE FIRES EVERYWHERE","An artist upends a quiet town outside Cleveland.","by Celeste Ng","Celeste Ng","Penguin Press"
"419","THE WOMAN IN THE WINDOW","A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.","by A.J. Finn","AJ Finn","Morrow"
"420","DARK SENTINEL","The 32nd book in the Carpathian series. Andor Katona tries to convince Lorraine Peters of their immortal bond.","by Christine Feehan","Christine Feehan","Berkley"
"421","TAILSPIN","A pilot navigates treacherous situations when he attempts to deliver a mysterious black box to a doctor in Georgia.","by Sandra Brown","Sandra Brown","Grand Central"
"422","PIECES OF HER","When a violent incident reveals her mother’s secret past, Andrea Oliver searches for clues to save her.","by Karin Slaughter","Karin Slaughter","Morrow"
"423","TIMELESS","Zaknafein and Drizzt must overcome their differences to protect their loved ones.","by R.A. Salvatore","R A Salvatore","Harper Voyager"
"424","FIELD OF BONES","Sherriff Joanna Brady oversees the complex investigation of a multiple homicide.","by J.A. Jance","J A Jance","Morrow"
"425","STYGIAN","The 29th book in the Dark-Hunter series. A trained slayer forms alliances with enemies.","by Sherrilyn Kenyon","Sherrilyn Kenyon","Tor"
"426","MAGIC TRIUMPHS","The 10th book in the Kate Daniels series. After starting a family with a former Beast Lord, Kate faces the threat of war from an ancient enemy.","by Ilona Andrews","Ilona Andrews","Ace"
"427","THE OTHER WOMAN","Gabriel Allon, the art restorer and assassin, fights the Russians to decide the fate of postwar global order.","by Daniel Silva","Daniel Silva","Harper"
"428","FEARED","Mary DiNunzio and Bennie Rosato must solve a murder and handle a reverse sex discrimination suit against their firm.","by Lisa Scottoline","Lisa Scottoline","St. Martin's"
"429","DESOLATION MOUNTAIN","An independent investigation into a deadly plane crash in a remote part of a Native American reservation faces a menace.","by William Kent Krueger","William Kent Krueger","Atria"
"430","A GENTLEMAN IN MOSCOW","A Russian count undergoes 30 years of house arrest.","by Amor Towles","Amor Towles","Viking"
"431","COTTAGE BY THE SEA","Annie Marlow forms new relationships in the Pacific Northwest as she tries to recover from tragedy.","by Debbie Macomber","Debbie Macomber","Ballantine"
"432","PARADOX","In the 22nd book in the F.B.I. Thriller series, agents Sherlock and Savich look for an escaped psychopath.","by Catherine Coulter","Catherine Coulter","Gallery"
"433","ALL WE EVER WANTED","A scandal sends members of two Nashville families into chaos.","by Emily Giffin","Emily Giffin","Ballantine"
"434","WHEN LIFE GIVES YOU LULULEMONS","Emily Charlton plans a comeback from the suburbs.","by Lauren Weisberger","Lauren Weisberger","Simon & Schuster"
"435","CHERRY","An Iraq veteran and his girlfriend consider taking desperate measures after getting addicted to opioids.","by Nico Walker","Nico Walker","Knopf"
"436","THE PERFECT COUPLE","A body is found in Nantucket Harbor hours before a picture-perfect wedding.","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"437","SERPENTINE","The vampire hunter Anita Blake goes to a Florida island where members of a family turn into a mass of snakes.","by Laurell K. Hamilton","Laurell K Hamilton","Berkley"
"438","AN UNWANTED GUEST","A Catskills lodge loses electricity during a blizzard and its guests start mysteriously dropping dead.","by Shari Lapena","Shari Lapena","Pamela Dorman"
"439","CLOCK DANCE","A window into Willa Drake’s life over 50 years and how she adjusts to some of life's surprises.","by Anne Tyler","Anne Tyler","Knopf"
"440","THE MONEY SHOT","A movie star is blackmailed and Teddy Fay, disguised as an actor and stuntman, investigates.","by Stuart Woods and Parnell Hall","Stuart Woods and Parnell Hall","Putnam"
"441","SPYMASTER","The 18th book in the Scot Harvath series.","by Brad Thor","Brad Thor","Emily Bestler/Atria"
"442","THRAWN: ALLIANCES","A Star Wars saga. Darth Vader and Grand Admiral Thrawn join forces to serve Emperor Palpatine.","by Timothy Zahn","Timothy Zahn","Del Rey"
"443","GHOSTED","When Eddie disappears, Sarah realizes they did not share the truth with each other.","by Rosie Walsh","Rosie Walsh","Pamela Dorman/Viking"
"444","THE GOOD FIGHT","Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.","by Danielle Steel","Danielle Steel","Delacorte"
"445","THE SUMMER WIVES","In the 1950s, a high-society schoolgirl falls for the son of a lighthouse keeper and, years later, tries to help undo his wrongful imprisonment.","by Beatriz Williams","Beatriz Williams","Morrow"
"446","SPINNING SILVER","Miryem goes to collect debts owed to her father and winds up on a dangerous quest.","by Naomi Novik","Naomi Novik","Del Rey"
"447","MY YEAR OF REST AND RELAXATION","A young woman living in New York City in 2000 contends with depression, bad relationships and an incompetent psychiatrist.","by Ottessa Moshfegh","Ottessa Moshfegh","Penguin Press"
"448","THE DEATH OF MRS. WESTAWAY","A tarot card reader mistakenly receives an inheritance letter and attends the funeral of the deceased.","by Ruth Ware","Ruth Ware","Gallery/Scout"
"449","THE FALLEN","Amos Decker puts his talents toward solving a string of murders.","by David Baldacci","David Baldacci","Grand Central"
"450","TOM CLANCY LINE OF SIGHT","Jack Ryan Jr. risks his life to protect a woman in a country on the brink of civil war.","by Mike Maden","Mike Maden","Putnam"
"451","SOMETHING IN THE WATER","A documentary filmmaker and an investment banker must decide whether they should protect a secret.","by Catherine Steadman","Catherine Steadman","Ballantine"
"452","SHELTER IN PLACE","Survivors of a mass shooting outside a mall in Portland, Me., develop different coping mechanisms.","by Nora Roberts","Nora Roberts","St. Martin's"
"453","THE LAST TIME I LIED","A painter is in danger when she returns to the summer camp where some of her childhood friends disappeared.","by Riley Sager","Riley Sager","Dutton"
"454","THE SKAAR INVASION","The second book in the Fall of Shannara series.","by Terry Brooks","Terry Brooks","Del Rey"
"455","BRING ME BACK","A decade after she vanished, a woman's potential reappearance may interfere with her ex-boyfriend's engagement to her sister.","by B.A. Paris","BA Paris","St. Martin's"
"456","THE PHARAOH KEY","Gideon Crew and Manuel Garza go on a mission to solve the mystery of a centuries-old stone tablet.","by Douglas Preston and Lincoln Child","Douglas Preston and Lincoln Child","Grand Central"
"457","THE GRAY GHOST","Sam and Remi Fargo search for a Rolls-Royce prototype that has vanished for a second time.","by Clive Cussler and Robin Burcell","Clive Cussler and Robin Burcell","Putnam"
"458","BEFORE THE STORM","An impending war may destroy Azeroth. Based on the online role-playing game World of Warcraft.","by Christie Golden","Christie Golden","Del Rey"
"459","A PLACE FOR US","The bonds and betrayals of an Indian Muslim family are exposed when they gather for a wedding in California.","by Fatima Farheen Mirza","Fatima Farheen Mirza","SJP for Hogarth"
"460","THE 17TH SUSPECT","The latest installment in the Women’s Murder Club series.","by James Patterson and Maxine Paetro","James Patterson and Maxine Paetro","Little, Brown"
"461","BRIEF CASES","A dozen stories about Harry Dresden, Chicago’s only professional wizard.","by Jim Butcher","Jim Butcher","Ace"
"462","US AGAINST YOU","Beartown’s hockey team gets a new coach and their rivalry with a neighboring team escalates.","by Fredrik Backman","Fredrik Backman","Atria"
"463","TURBULENCE","The 46th book in the Stone Barrington series.","by Stuart Woods","Stuart Woods","Putnam"
"464","TO THE MOON AND BACK","A man whose mother died in the Oklahoma City bombing seeks to reconnect with a woman also affected by the tragedy.","by Karen Kingsbury","Karen Kingsbury","Howard"
"465","BY INVITATION ONLY","The daughter of a Chicago power broker and the son of a Southern peach farmer decide to wed.","by Dorothea Benton Frank","Dorothea Benton Frank","Morrow"
"466","THE CAST","A magazine columnist meets an array of Hollywood professionals when a producer turns a story about her grandmother into a TV series.","by Danielle Steel","Danielle Steel","Delacorte"
"467","THE HIGH TIDE CLUB","An eccentric millionaire enlists the attorney Brooke Trappnell to fix old wrongs.","by Mary Kay Andrews","Mary Kay Andrews","St. Martin's"
"468","WARLIGHT","In Britain after World War II, a pair of teenage siblings are taken under the tutelage of a mysterious man.","by Michael Ondaatje","Michael Ondaatje","Knopf"
"469","BEACH HOUSE REUNION","Three generations of a family gather one summer in South Carolina.","by Mary Alice Monroe","Mary Alice Monroe","Gallery"
"470","TWISTED PREY","The 28th book in the Prey series. A federal marshal looks into the actions of a member of the Senate Intelligence Committee.","by John Sandford","John Sandford","Putnam"
"471","THE CROOKED STAIRCASE","The rogue F.B.I. agent Jane Hawk is on the lam from the government and a secret group causing a rash of murder-suicides.","by Dean Koontz","Dean Koontz","Bantam"
"472","THE FAVORITE SISTER","The more popular of a pair of sisters cast on a reality show turns up dead.","by Jessica Knoll","Jessica Knoll","Simon & Schuster"
"473","THE MARS ROOM","A woman is separated from her son when she begins two consecutive life sentences in a California correctional facility.","by Rachel Kushner","Rachel Kushner","Scribner"
"474","HOW TO WALK AWAY","Maggie Jacobsen’s life is turned upside down when she is paralyzed and winds up in a hospital.","by Katherine Center","Katherine Center","St. Martin's"
"475","THE HELLFIRE CLUB","Charlie Marder, a World War II veteran and unlikely congressman, gets entangled in a dangerous series of events in 1950s D.C.","by Jake Tapper","Jake Tapper","Little, Brown"
"476","I'VE GOT MY EYES ON YOU","A high school guidance counselor tries to uncover the identity of her sister’s murderer.","by Mary Higgins Clark","Mary Higgins Clark","Simon & Schuster"
"477","THE PERFECT MOTHER","A missing baby unnerves a group of new mothers who meet in Prospect Park twice a week.","by Aimee Molloy","Aimee Molloy","Harper"
"478","LOVE AND RUIN","Martha Gellhorn goes to Madrid to report on the Spanish Civil War and comes to a crossroad in her relationship with Ernest Hemingway.","by Paula McLain","Paula McLain","Ballantine"
"479","THE FORGOTTEN ROAD","The second book in the Broken Road series. After surviving a plane crash, a man decides to walk the length of Route 66.","by Richard Paul Evans","Richard Paul Evans","Simon & Schuster"
"480","ADJUSTMENT DAY","Young men take on geriatric politicians who are pushing the country toward a third world war.","by Chuck Palahniuk","Chuck Palahniuk","Norton"
"481","THE FEMALE PERSUASION","The relationship between a college freshman and a famous feminist reveals the challenges of intergenerational feminism.","by Meg Wolitzer","Meg Wolitzer","Riverhead"
"482","AFTER ANNA","A woman marries a widower and reunites with her teenage daughter who is murdered soon after, and the husband is put on trial for it.","by Lisa Scottoline","Lisa Scottoline","St. Martin's"
"483","THE OVERSTORY","Nine people drawn to trees for different reasons fight for the last of the remaining acres of virgin forest.","by Richard Powers","Richard Powers","Norton"
"484","THE DISAPPEARED","A Wyoming game warden teams up with his daughter to find a missing British businesswoman.","by C.J. Box","C J Box","Putnam"
"485","NOIR","In the summer of 1947, a woman and an Air Force general attract the attention of a San Francisco bartender while a suspicious flying object is spotted near the coast.","by Christopher Moore","Christopher Moore","Morrow"
"486","SHOOT FIRST","Stone Barrington searches for the person who plotted to kill the woman behind a cutting-edge software startup.","by Stuart Woods","Stuart Woods","Putnam"
"487","THEN SHE WAS GONE","Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions.","by Lisa Jewell","Lisa Jewell","Atria"
"488","STAR WARS: LAST SHOT","Lando Calrissian seeks help from Han Solo to elude Fyzen Gor’s assassins.","by Daniel José Older","Daniel José Older","Del Rey"
"489","THE THIEF","The 16th book in the Black Dagger Brotherhood series. Sola Morte falls for a man who sells weapons to a group of vampire warriors.","by J.R. Ward","JR Ward","Ballantine"
"490","THE SIXTH DAY","The fifth book in the A Brit in the F.B.I. series. After the German vice chancellor dies, special agents investigate one of Dracula’s descendants.","by Catherine Coulter and J.T. Ellison","Catherine Coulter and J T Ellison","Gallery"
"491","RED ALERT","The fifth book in the NYPD Red series. Detectives Zach Jordan and Kylie MacDonald investigate the death of a documentary filmmaker and an explosion at a charity benefit.","by James Patterson and Marshall Karp","James Patterson and Marshall Karp","Little, Brown"
"492","VARINA","As the Confederacy and her marriage to Jefferson Davis fall apart, a woman flees Richmond with her children.","by Charles Frazier","Charles Frazier","Ecco"
"493","MACBETH","In this adaptation of Shakespeare's tragedy, police in a 1970s industrial town take on a pair of drug lords.","by Jo Nesbo","Jo Nesbø","Hogarth Shakespeare"
"494","ACCIDENTAL HEROES","Strangers pull together to avert a disaster involving two flights from New York to San Francisco.","by Danielle Steel","Danielle Steel","Delacorte"
"495","CAVE OF BONES","Tribal police officers search the Navajo Nation for a missing instructor and investigate a troubled girl’s story of finding human remains.","by Anne Hillerman","Anne Hillerman","Harper"
"496","THE PUNISHMENT SHE DESERVES","Detectives Havers and Lynley investigate the death of a deacon accused of a serious crime in a historic medieval town in England.","by Elizabeth George","Elizabeth George","Viking"
"497","THE ESCAPE ARTIST","Nola Brown, a painter and trained soldier, discovers a military secret that traces back to Harry Houdini.","by Brad Meltzer","Brad Meltzer","Grand Central"
"498","TO DIE BUT ONCE","In 1940, months after Britain declared war on Germany, Maisie Dobbs investigates the disappearance of an apprentice working on a government contract.","by Jacqueline Winspear","Jacqueline Winspear","Harper"
"499","THE RISING SEA","A scientific team searches the globe for the threat causing sea levels to rise at an alarming rate.","by Clive Cussler and Graham Brown","Clive Cussler and Graham Brown","Putnam"
"500","ALTERNATE SIDE","An incident in her Manhattan neighborhood forces Nora Nolan to reckon with aspects of her life.","by Anna Quindlen","Anna Quindlen","Random House"
"501","THE BISHOP'S PAWN","Cotton Malone discovers revelations about the day the Rev. Dr. Martin Luther King Jr. was assassinated.","by Steve Berry","Steve Berry","Minotaur"
"502","THE TEMPTATION OF FORGIVENESS","The 27th book in the Commissario Guido Brunetti series.","by Donna Leon","Donna Leon","Atlantic Monthly"
"503","COVERT GAME","Gino Mazza must save an artificial intelligence expert who tampered with a crime lord's computer network.","by Christine Feehan","Christine Feehan","Berkley"
"504","THE FLIGHT ATTENDANT","After waking up next to a dead man in a hotel room in Dubai, a binge drinker pieces together the previous night's events.","by Chris Bohjalian","Chris Bohjalian","Doubleday"
"505","CARIBBEAN RIM","The 25th book in the Doc Ford series. The marine biologist searches for a state agency official and rare Spanish coins.","by Randy Wayne White","Randy Wayne White","Putnam"
"506","FIFTY FIFTY","Detective Harriet Blue tries to clear her brother's name and save a small Australian town from being massacred.","by James Patterson and Candice Fox","James Patterson and Candice Fox","Little, Brown"
"507","STAR WARS: THE LAST JEDI","An adaptation of the film, written with input from its director, Rian Johnson, which includes scenes from alternate versions of the script.","by Jason Fry","Jason Fry","Del Rey"
"508","ORIGIN","A symbology professor goes on a perilous quest with a beautiful museum director.","by Dan Brown","Dan Brown","Doubleday"
"509","STILL ME","Louisa Clark moves to New York and is torn between high society and the life she enjoys at a vintage clothing store.","by Jojo Moyes","Jojo Moyes","Pamela Dorman/Viking"
"510","THE WIFE BETWEEN US","The story of a love triangle is told from several points of view.","by Greer Hendricks and Sarah Pekkanen","Greer Hendricks and Sarah Pekkanen","St. Martin's"
"511","BURN BRIGHT","The fifth book in the Alpha and Omega series. Mated werewolves Charles Cornick and Anna Latham answer a call of distress.","by Patricia Briggs","Patricia Briggs","Ace"
"512","THE SHAPE OF WATER","A mute janitor working in an aerospace research center develops a relationship with an amphibious man from the Amazon.","by Guillermo del Toro and Daniel Kraus","Guillermo del Toro and Daniel Kraus","Feiwel & Friends"
"513","THE KREMLIN CONSPIRACY","A Secret Service agent and a Russian lawyer cross paths as a nuclear war threatens.","by Joel C. Rosenberg","Joel C Rosenberg","Tyndale House"
"514","RASPBERRY DANISH MURDER","After her husband disappears, Hannah Swensen Barton searches for a killer while trying to fulfill holiday baking orders.","by Joanne Fluke","Joanne Fluke","Kensington"
"515","THE HUSH","Johnny Merrimon fights to keep the 6,000 acres of once-sacred land in North Carolina he inherited.","by John Hart","John Hart","St. Martin's"
"516","LOOK FOR ME","Sergeant Detective D. D. Warren teams up with a torture survivor to find a missing teenager whose family was gunned down.","by Lisa Gardner","Lisa Gardner","Dutton"
"517","THE IMMORTALISTS","Four adolescents learn the dates of their deaths from a psychic and their lives go on different courses.","by Chloe Benjamin","Chloe Benjamin","Putnam"
"518","THE ROOSTER BAR","Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.","by John Grisham","John Grisham","Doubleday"
"519","AGENT IN PLACE","The seventh book in the Gray Man series. Court Gentry gets the chance to end a brutal dictatorship.","by Mark Greaney","Mark Greaney","Berkley"
"520","DARK IN DEATH","Lieutenant Eve Dallas must find a killer inspired by police thrillers before another victim is murdered.","by J.D. Robb","JD Robb","St. Martin's"
"521","NIGHT MOVES","Homicide detective Milo Sturgis enlists the psychologist Alex Delaware to help solve a John Doe case.","by Jonathan Kellerman","Jonathan Kellerman","Ballantine"
"522","FALL FROM GRACE","A widow left out of her husband's will tries to make a new life as a fashion designer.","by Danielle Steel","Danielle Steel","Delacorte"
"523","THE KREMLIN'S CANDIDATE","A counterintelligence chief and her lover, who is a C.I.A. agent, learn of Vladimir Putin’s plan to assassinate a United States official.","by Jason Matthews","Jason Matthews","Scribner"
"524","SING, UNBURIED, SING","A 13-year-old boy comes of age while his black mother takes him to pick up his white father from the state penitentiary.","by Jesmyn Ward","Jesmyn Ward","Scribner"
"525","CITY OF ENDLESS NIGHT","A New York City detective and an F.B.I. special agent track down a killer.","by Douglas Preston and Lincoln Child","Douglas Preston and Lincoln Child","Grand Central"
"526","THE GRAVE'S A FINE AND PRIVATE PLACE","Flavia de Luce, a young British sleuth, gets involved in solving a murder after experiencing a family tragedy.","by Alan Bradley","Alan Bradley","Delacorte"
"527","END GAME","Jessica Reel and Will Robie fight a dangerous adversary in Colorado.","by David Baldacci","David Baldacci","Grand Central"
"528","NEED TO KNOW","A C.I.A. analyst's job and family are threatened when she discovers Russian agents in the United States.","by Karen Cleveland","Karen Cleveland","Ballantine"
"529","THE PEOPLE VS. ALEX CROSS","Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.","by James Patterson","James Patterson","Little, Brown"
"530","MUNICH","Two former friends who attended Oxford accompany Hitler and Neville Chamberlain to a meeting in 1938 and are forced to make a consequential decision.","by Robert Harris","Robert Harris","Knopf"
"531","THE MIDNIGHT LINE","Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.","by Lee Child","Lee Child","Delacorte"
"532","IRON GOLD","The fourth book of the Red Rising Saga. A hero of the revolution finds his fate tied up with others as the war continues.","by Pierce Brown","Pierce Brown","Del Rey"
"533","ROBICHEAUX","A bereaved detective confronts his past and works to clear his name when he becomes a suspect during an investigation into the murder of the man who killed his wife.","by James Lee Burke","James Lee Burke","Simon & Schuster"
"534","BLOOD FURY","The third book in the Black Dagger Legacy series.","by J.R. Ward","JR Ward","Ballantine"
"535","ARTEMIS","A small-time smuggler living in a lunar colony schemes to pay off an old debt by pulling off a challenging heist.","by Andy Weir","Andy Weir","Crown"
"536","UNBOUND","The 44th book in the Stone Barrington series.","by Stuart Woods","Stuart Woods","Putnam"
"537","YEAR ONE","When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.","by Nora Roberts","Nora Roberts","St. Martin's"
"538","THE POWER","Young women around the world suddenly have the ability to generate harmful electric shocks.","by Naomi Alderman","Naomi Alderman","Little, Brown"
"539","THE WANTED","A single mother hires Elvis Cole to investigate her teenage son who is on the run after a deadly crime spree.","by Robert Crais","Robert Crais","Putnam"
"540","TOM CLANCY POWER AND EMPIRE","President Jack Ryan seeks to identify the hidden forces escalating the tensions between China and the United States.","by Marc Cameron","Marc Cameron","Putnam"
"541","TWO KINDS OF TRUTH","While he investigates the murder of two pharmacists, an old case comes back to haunt Harry Bosch.","by Michael Connelly","Michael Connelly","Little, Brown"
"542","SLEEPING BEAUTIES","Women who fall asleep become shrouded in mysterious cocoons while the men battle one another.","by Stephen King and Owen King","Stephen King and Owen King","Scribner"
"543","MANHATTAN BEACH","The first female diver at the Brooklyn Naval Yard during World War II tries to understand why her father disappeared.","by Jennifer Egan","Jennifer Egan","Scribner"
"544","UNCOMMON TYPE","Seventeen short stories, each incorporating a typewriter, by the Academy Award-winning actor.","by Tom Hanks","Tom Hanks","Knopf"
"545","HARDCORE TWENTY-FOUR","When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.","by Janet Evanovich","Janet Evanovich","Putnam"
"546","A COLUMN OF FIRE","A pair of lovers find themselves on opposite sides of a conflict while Queen Elizabeth fights to maintain her throne.","by Ken Follett","Ken Follett","Viking"
"547","PAST PERFECT","A Manhattan family moves into a mansion in San Francisco and encounters the ghosts of its original inhabitants.","by Danielle Steel","Danielle Steel","Delacorte"
"548","OATHBRINGER","The third volume of the Stormlight Archive. The War of Reckoning ends and the Voidbringers return.","by Brandon Sanderson","Brandon Sanderson","Tor"
"549","THE WHISPERING ROOM","Former F.B.I. agent and wanted fugitive Jane Hawk tracks down a group that is brainwashing people into committing suicide.","by Dean Koontz","Dean Koontz","Bantam"
"550","TYPHOON FURY","Juan Cabrillo chases a Filipino insurgent during a megastorm.","by Clive Cussler and Boyd Morrison","Clive Cussler and Boyd Morrison","Putnam"
"551","EVERY BREATH YOU TAKE","Laurie Moran investigates the murder of a wealthy widow who was pushed from the roof of the Metropolitan Museum of Art.","by Mary Higgins Clark and Alafair Burke","Mary Higgins Clark and Alafair Burke","Simon & Schuster"
"552","FUTURE HOME OF THE LIVING GOD","As giving birth becomes a matter of state security, a pregnant woman travels to find her Ojibwe family.","by Louise Erdrich","Louise Erdrich","Harper"
"553","THE NOEL DIARY","A romance writer delves into a stranger's past when his estranged mother leaves her extremely stuffed house to him.","by Richard Paul Evans","Richard Paul Evans","Simon & Schuster"
"554","THE HOUSE OF UNEXPECTED SISTERS","During an investigation, Precious Ramotswe encounters a man from her past and a nurse who has her last name.","by Alexander McCall Smith","Alexander McCall Smith","Pantheon"
"555","IN THIS MOMENT","A lawyer defends a public high school principal who starts an after-school Bible study program.","by Karen Kingsbury","Karen Kingsbury","Howard Books"
"556","DEEP FREEZE","Virgil Flowers investigates the death of a local bank’s president.","by John Sandford","John Sandford","Putnam"
"557","IN THE MIDST OF WINTER","Three lives intersect after a car accident in Brooklyn.","by Isabel Allende","Isabel Allende","Atria"
"558","TWIN PEAKS: THE FINAL DOSSIER","Updated profiles on the residents of Twin Peaks are assembled by special agent Tamara Preston.","by Mark Frost","Mark Frost","Flatiron Books"
"559","FAIRYTALE","Tragedy and unexpected dangers come to life at a Napa Valley winery.","by Danielle Steel","Danielle Steel","Delacorte"
"560","THE GIRL WHO TAKES AN EYE FOR AN EYE","Stieg Larsson's character Lisbeth Salander seeks to uncover the secrets of her childhood.","by David Lagercrantz","David Lagercrantz","Knopf"
"561","QUICK & DIRTY","The New York lawyer Stone Barrington is hired to recover a stolen Van Gogh painting.","by Stuart Woods","Stuart Woods","Putnam"
"562","STRANGE WEATHER","A quartet of novellas involving the horrific and the supernatural.","by Joe Hill","Joe Hill","Morrow"
"563","THE CUBAN AFFAIR","A Miami lawyer solicits an Army veteran to go on a secret mission to recover $60 million stashed away in Cuba.","by Nelson DeMille","Nelson DeMille","Simon & Schuster"
"564","HAUNTED","A New York detective on vacation in Maine is enlisted to help solve a crime in the woods.","by James Patterson and James O. Born","James Patterson and James O Born","Little, Brown"
"565","DON'T LET GO","Det. Napoleon Dumas investigates a murder and uncovers clues about personal events that happened 15 years ago.","by Harlan Coben","Harlan Coben","Dutton"
"566","IT DEVOURS!","A female scientist investigates an unusual rumbling in an American Southwest desert and comes across a religious congregation planning a dangerous ritual.","by Joseph Fink and Jeffrey Cranor","Joseph Fink and Jeffrey Cranor","Harper Perennial"
"567","THE RULES OF MAGIC","Three singular siblings in the 1960s uncover secrets as they each try to break a family curse.","by Alice Hoffman","Alice Hoffman","Simon & Schuster"
"568","MERRY AND BRIGHT","A temp is given a social life when family members create an online dating profile for her.","by Debbie Macomber","Debbie Macomber","Ballantine"
"569","TO BE WHERE YOU ARE","The 14th novel in the Mitford series.","by Jan Karon","Jan Karon","Putnam"
"570","A LEGACY OF SPIES","Peter Guillam, formerly of the British Secret Service, is pulled out of retirement to defend intelligence operations during the cold war.","by John le Carré","John le Carré","Viking"
"571","STAR WARS: FROM A CERTAIN POINT OF VIEW","An anthology of short stories retells the original ""Star Wars"" from the point of view of supporting characters.","by various authors","various authors","Del Rey"
"572","WINTER SOLSTICE","The Quinns celebrate the holidays when one family member returns from the war in Afghanistan but the gathering turns rocky.","by Elin Hilderbrand","Elin Hilderbrand","Little, Brown"
"573","ENEMY OF THE STATE","Vince Flynn's character Mitch Rapp goes on a manhunt.","by Kyle Mills","Kyle Mills","Atria/Emily Bestler"
"574","Y IS FOR YESTERDAY","The 25th Kinsey Millhone mystery novel.","by Sue Grafton","Sue Grafton","Marian Wood/Putnam"
"575","THE ROMANOV RANSOM","Sam and Remi Fargo search for two missing filmmakers in North Africa and uncover a group seeking to create the Fourth Reich.","by Clive Cussler and Robin Burcell","Clive Cussler and Robin Burcell","Putnam"
"576","SECRETS IN DEATH","Lt. Eve Dallas investigates the murder of a professional gossip; by Nora Roberts, writing pseudonymously.","by J.D. Robb","JD Robb","St. Martin's"
"577","THE RIGHT TIME","The author Alexandra Winslow, writing under the pseudonym Alexander Green, creates a double life that isolates her.","by Danielle Steel","Danielle Steel","Delacorte"
"578","ENIGMA","F.B.I. agents Savich and Sherlock team up with Cam Wittier and Jack Cabot to capture an international criminal and solve a John Doe case.","by Catherine Coulter","Catherine Coulter","Gallery Books"
"579","CAMINO ISLAND","A search for stolen rare manuscripts leads to a Florida island.","by John Grisham","John Grisham","Doubleday"
"580","GLASS HOUSES","When a body is discovered in Three Pines, Chief Superintendent Gamache regrets not acting on a hunch.","by Louise Penny","Louise Penny","Minotaur"
"581","MY ABSOLUTE DARLING","A remarkably self-sufficient 14-year-old girl must fight to save herself from her abusive survivalist father.","by Gabriel Tallent","Gabriel Tallent","Riverhead"
"582","THE WESTERN STAR","The 13th Walt Longmire novel. A parole hearing of a serial killer and the decades-old memory of a train ride with Wyoming sheriffs put Longmire on a collision course between past and present.","by Craig Johnson","Craig Johnson","Viking"
"583","DARK LEGACY","Emeline Sanchez fights to recover from exchanging blood with a master vampire, even as she tries to heal the children she saved from him. A Carpathian novel.","by Christine Feehan","Christine Feehan","Berkley"
"584","THE STORE","Two New York writers go undercover to expose the secrets of a powerful retailer.","by James Patterson and Richard DiLallo","James Patterson and Richard DiLallo","Little, Brown"
"585","SEEING RED","The TV journalist Kerra Bailey and former federal agent John Trapper join forces to expose a web of conspiracy behind a hotel bombing in Dallas.","by Sandra Brown","Sandra Brown","Grand Central"
