"","title","description","contributor","author","publisher"
"1564","THE FALL OF ARTHUR","An unfinished narrative poem in Old English alliterative meter, written before “The Hobbit,” with notes and commentary by Tolkien’s son Christopher. ","by J. R. R. Tolkien. Edited by Christopher Tolkien","J R R Tolkien","Houghton Mifflin Harcourt"
"1565","WHISKEY BEACH","A former criminal attorney who has been acquitted of his wife’s murder retreats to his family home on a New England cliff. ","by Nora Roberts","Nora Roberts","Putnam"
"1566","THE BURGESS BOYS","Two brothers, both lawyers, return to their Maine hometown to defend their troubled teenage nephew.","by Elizabeth Strout","Elizabeth Strout","Random House"
"1567","THE WOMAN UPSTAIRS","The quiet life of a teacher and frustrated artist is upended by her friendship with a glamorous couple and their son; from the author of “The Emperor’s Children.” ","by Claire Messud","Claire Messud","Knopf"
"1568","LITTLE GREEN","In the 12th Easy Rawlins mystery, Easy searches for a young black man who disappeared during an acid trip in 1967.","by Walter Mosley","Walter Mosley","Doubleday"
"1569","DADDY'S GONE A HUNTING","Two sisters are threatened by a dark secret from their family's past.","by Mary Higgins Clark","Mary Higgins Clark","Simon & Schuster"
"1570","MAGICIAN'S END","","by Raymond E. Feist","Raymond E Feist","Harper Voyager"
"1571","ROBERT B. PARKER'S WONDERLAND","The P.I. Spenser uncovers a shady plan to build a sprawling casino north of Boston; a continuation of the series by Parker, who died in 2010.","by Ace Atkins","Ace Atkins","Putnam"
"1572","FLY AWAY","A brash but lonely woman must deal with her personal demons before she can keep her promise to help the family of her deceased friend; a sequel to ""Firefly Lane.""","by Kristin Hannah","Kristin Hannah","St. Martin's"
"1573","THE OPHELIA CUT","Dismas Hardy must defend his brother-in-law, who is accused of killing his daughter’s rapist.","by John Lescroart","John Lescroart","Atria"
"1574","THE INTERESTINGS","Six friends meet in the 1970s at a summer arts camp, and pursue success, and one another, over succeeding decades.","by Meg Wolitzer","Meg Wolitzer","Riverhead"
"1575","THE APPLE ORCHARD","When a woman inherits half a hundred-acre apple orchard in Sonoma County to be shared with a half-sister she never knew she had, she discovers the pleasures of family and love. ","by Susan Wiggs","Susan Wiggs","Harlequin Mira"
"1576","WEDDING NIGHT","A woman tries to break up her sister’s impulsive marriage.","by Sophie Kinsella","Sophie Kinsella","Dial"
"1577","SOMEDAY, SOMEDAY, MAYBE","A young actress tries to make it in New York City, by a star of “Gilmore Girls” and “Parenthood.” ","by Lauren Graham","Lauren Graham","Ballantine"
"1578","SIX YEARS","Six years after the woman he loved married another man, Jake discovers that neither she nor their life together were what they seemed.","by Harlan Coben","Harlan Coben","Dutton"
"1579","MAYA'S NOTEBOOK","A girl who has been raised by her Chilean exile grandparents gets into trouble after her grandfather dies; her grandmother helps her escape to an island off the coast of C","by Isabel Allende","Isabel Allende","Harper"
"1580","DON'T GO","An Army doctor returns home from Afghanistan to find that the life he left behind has fallen apart.","by Lisa Scottoline","Lisa Scottoline","St. Martin's"
"1581","THE MYSTERY WOMAN","The second book of a new Victorian paranormal series, Ladies of Lantern Street, by Jayne Ann Krentz, writing pseudonymously. ","by Amanda Quick","Amanda Quick","Putnam"
"1582","UNINTENDED CONSEQUENCES","The New York lawyer Stone Barrington discovers a shadowy network beneath the world of European wealth.","by Stuart Woods","Stuart Woods","Putnam"
"1583","STARTING NOW","A Seattle lawyer loses her job and remakes her life, reaching out to old friends and spending her afternoons at the local knitting store; a Blossom Street novel.","by Debbie Macomber","Debbie Macomber","Ballantine"
"1584","Z","A fictionalized account of Zelda and F. Scott Fitzgerald’s turbulent marriage.","by Therese Anne Fowler","Therese Anne Fowler","St. Martin's"
"1585","THE STORYTELLER","A New Hampshire baker finds herself in the midst of two Holocaust stories: her grandmother’s tale of survival, and the confessions of an elderly German man, an SS officer.  ","by Jodi Picoult","Jodi Picoult","Emily Bestler/Atria"
"1586","TAKING EVE","The forensic sculptor Eve Duncan undertakes a job for a man who cannot go to the police without exposing his dark past.","by Iris Johansen","Iris Johansen","St. Martin's"
"1587","A MAN WITHOUT BREATH","Bernie Gunther, the Berlin cop, is sent to Smolensk to try to pin a massacre on the Russians. ","by Philip Kerr","Philip Kerr","Marian Wood/Putnam"
"1588","MANUSCRIPT FOUND IN ACCRA","The wisdom of a wise man known as the Copt, set in Jerusalem just before the Crusaders’ invasion in 1099.","by Paulo Coelho","Paulo Coelho","Knopf"
"1589","A WEEK IN WINTER","Guests at an inn by the sea on Ireland’s west coast.","by Maeve Binchy","Maeve Binchy","Knopf"
"1590","ALEX CROSS, RUN","While Detective Alex Cross pursues a serial killer (or killers?) in Washington, D.C., he's too busy to notice that someone has been watching him.","by James Patterson","James Patterson","Little, Brown"
"1591","LOVER AT LAST","Fate seems to have taken the vampire soldiers Qhuinn and Blay in different directions. But as the battle over the race’s throne intensifies, mortal dangers lie ahead for the Black Dagger Brotherhood.","by J. R. Ward","J R Ward","New American Library"
"1592","A MEMORY OF LIGHT","The 14th and final novel in the Wheel of Time fantasy series.","by Robert Jordan and Brandon Sanderson","Robert Jordan and Brandon Sanderson","Tor/Tom Doherty"
"1593","TAPESTRY OF FORTUNES","A woman and her three housemates in St. Paul embark on a road trip to reconnect with people who have left their lives.","by Elizabeth Berg","Elizabeth Berg","Random House"
"1594","MIDNIGHT AT MARBLE ARCH","The Victorian sleuths Charlotte and Thomas Pitt investigate a horrific rape and apparent suicide.","by Anne Perry","Anne Perry","Ballantine"
"1595","MISS JULIA STIRS UP TROUBLE","","by Ann B. Ross","Ann B Ross","Viking"
"1596","RECONSTRUCTING AMELIA","A teenager falls to her death from the roof of her Brooklyn private school. It’s ruled a suicide, but her mother suspects otherwise.","by Kimberly McCreight","Kimberly McCreight","Harper"
"1597","LEAVING EVERYTHING MOST LOVED","In 1933, the private investigator Maisie Dobbs helps an Indian man whose sister’s murder has been ignored by Scotland Yard.","by Jacqueline Winspear","Jacqueline Winspear","Harper"
"1598","ALL THAT IS","A veteran makes a career in publishing in postwar New York and struggles to achieve romantic success.","by James Salter","James Salter","Knopf"
"1599","THE DINNER","Two couples meet in an Amsterdam restaurant to discuss their sons’ criminal activities.","by Herman Koch","Herman Koch","Hogarth"
"1600","ALL YOU COULD ASK FOR","","by Mike Greenberg","Mike Greenberg","Morrow"
"1601","THE GOLDEN EGG","Venice’s Commissario Guido Brunetti looks into the suspicious death of a deaf and mentally disabled man.","by Donna Leon","Donna Leon","Atlantic Monthly"
"1602","NO WAY BACK","","by Andrew Gross","Andrew Gross","Morrow"
"1603","BREAKING POINT","The Wyoming game warden Joe Pickett gets in the line of fire between an old friend and the Environmental Protection Agency.","by C. J. Box","C J Box","Putnam"
"1604","THE STRIKER","In 1902, the young detective Isaac Bell discovers that provocateurs, not the union members he was hired to investigate, are causing trouble in the coal mines.","by Clive Cussler and Justin Scott","Clive Cussler and Justin Scott","Putnam"
"1605","DAMASCUS COUNTDOWN","A C.I.A. operative searches for two nuclear warheads that survived an Israeli attack on Iran.","by Joel C. Rosenberg","Joel C Rosenberg","Tyndale House"
"1606","FROST BURNED","The shape-shifter Mercy Thompson seeks assistance from an unlikely ally after the Alpha werewolf, Adam Hauptman, and the rest of his pack are abducted.","by Patricia Briggs","Patricia Briggs","Ace"
"1607","DEATH OF YESTERDAY","","by M. C. Beaton","M C Beaton","Grand Central"
"1608","ORDINARY GRACE","","by William Kent Krueger","William Kent Krueger","Atria"
"1609","THE CHANCE","Teenage friends, separated by a move, come together as adults to see whether they can find love.","by Karen Kingsbury","Karen Kingsbury","Howard Books"
"1610","HALO: SILENTIUM","Book 3 of the Forerunner Saga.","by Greg Bear","Greg Bear","Tor/Tom Doherty"
"1611","CALCULATED IN DEATH","Lt. Eve Dallas investigates an accountant's death; by Nora Roberts, writing pseudonymously.  ","by J. D. Robb","J D Robb","Putnam"
"1612","THE ACCURSED","This postmodern Gothic novel purports to be an account of a curse that infected bucolic Princeton, N.J., in 1905 and 1906.","by Joyce Carol Oates","Joyce Carol Oates","Ecco/HarperCollins"
"1613","BLOODFIRE QUEST","The second book of the Dark Legacy of Shannara, a fantasy trilogy","by Terry Brooks","Terry Brooks","Ballantine"
"1614","TENTH OF DECEMBER","Saunders’s relentless humor and generosity of spirit keep his highly moral tales from succumbing to life’s darker aspects.","by George Saunders","George Saunders","Random House"
"1615","FAMILY PICTURES","","by Jane Green","Jane Green","St. Martin's"
"1616","THE SUPREMES AT EARL'S ALL-YOU-CAN-EAT","Four decades in the friendship of three middle-class black women in a small  southern Indiana town.","by Edward Kelsey Moore","Edward Kelsey Moore","Knopf"
"1617","THE LAST THRESHOLD","Book 4 of the fantasy Neverwinter Saga.","by R. A. Salvatore","R A Salvatore","Wizards of the Coast"
"1618","A DEEPER LOVE INSIDE","A sequel to “The Coldest Winter Ever” focuses on Winter’s younger sister, Porsche Santiaga. ","by Sister Souljah","Sister Souljah","Atria/Emily Bestler Books"
"1619","THE STORY OF GOD AND ALL OF US","","Roma Downey and Mark Burnett","Roma Downey and Mark Burnett","FaithWords"
"1620","SHADOW OF FREEDOM","Honor Harrington’s best friend, the admiral of the Star Empire of Manticore, wants to use her fleet to liberate other planets as well as defending her own. ","by David Weber","David Weber","Baen"
"1621","GUILT","The psychologist-detective Alex Delaware traces a bizarre new case back some 60 years, to the story of a beautiful nurse and a notorious hospital.","by Jonathan Kellerman","Jonathan Kellerman","Ballantine"
"1622","SWEET TEA REVENGE","Theodosia Browning, owner of Indigo Tea Shop, is a bridesmaid in her friend's wedding. But the bridegroom is found dead on the big day.","by Laura Childs","Laura Childs","Berkley"
"1623","TOUCH AND GO","An investigator probing the disappearance of a seemingly perfect Boston family must dig beneath the surface.","by Lisa Gardner","Lisa Gardner","Dutton"
"1624","RED VELVET CUPCAKE MURDER","Hannah Swensen becomes a suspect when her romantic rival turns up dead; recipes included.","by Joanne Fluke","Joanne Fluke","Kensington"
"1625","BAD BLOOD","Kate Shugak, an Aleut private investigator, must sort out murders motivated by revenge between two Alaska towns. ","by Dana Stabenow","Dana Stabenow","Minotaur"
"1626","VAMPIRES IN THE LEMON GROVE","The innocent do not fare well in Russell’s stories. ","by Karen Russell","Karen Russell","Knopf"
"1627","PRIVATE BERLIN","A superstar agent at the German headquarters of an investigation firm disappears.","by James Patterson and Mark Sullivan","James Patterson and Mark Sullivan","Little, Brown & Company"
"1628","SUSPECT","A Los Angeles policeman and a German shepherd, both suffering from PTSD, search for the killers of the cop’s partner.","by Robert Crais","Robert Crais","Putnam"
